episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
42,0,Up,14,0,0,4,2,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,Right,13,0,0,4,2,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0
42,2,Up,12,0,0,4,2,1,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
42,3,Right,12,0,0,4,2,1,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0
42,4,Right,12,0,0,8,2,1,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,0,0,2,0,0,0,0,0
42,5,Up,12,0,0,8,2,1,0,0,8,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,8,4,0,0,2,0,0,0,0,0,0,0,0,0
42,6,Right,11,0,0,8,2,1,2,0,8,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,4,0,0,0,2,0,0,0,0,0,0,2,0
42,7,Up,10,0,0,8,2,1,0,2,8,4,0,0,0,2,0,0,0,0,0,0,2,0,0,2,8,4,0,2,2,2,0,0,0,0,0,0,0,0
42,8,Right,10,0,0,8,2,1,0,2,8,4,0,2,2,2,0,0,0,0,0,0,0,0,0,2,8,4,0,0,2,4,2,0,0,0,0,0,0,0
42,9,Up,10,0,0,8,2,1,0,2,8,4,0,0,2,4,2,0,0,0,0,0,0,0,2,2,8,8,0,0,2,0,0,0,2,0,0,0,0,0
42,10,Up,10,0,0,8,2,1,2,2,8,8,0,0,2,0,0,0,2,0,0,0,0,0,2,2,8,8,0,2,4,0,0,0,0,0,0,0,0,0
42,11,Right,11,0,0,16,2,1,2,2,8,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,2,4,0,0,0,0,0,0,2,0
42,12,Up,11,0,0,16,2,1,0,0,4,16,0,0,2,4,0,0,0,0,0,0,2,0,0,0,4,16,0,0,4,4,0,0,0,0,0,2,0,0
42,13,Up,11,0,0,16,2,1,0,0,4,16,0,0,4,4,0,0,0,0,0,2,0,0,0,2,8,16,0,0,0,4,0,0,0,0,0,2,0,0
42,14,Right,10,0,0,16,2,1,0,2,8,16,0,0,0,4,0,0,0,0,0,2,0,0,0,2,8,16,0,0,0,4,0,0,0,0,2,0,0,2
42,15,Up,9,0,0,16,2,1,0,2,8,16,0,0,0,4,0,0,0,0,2,0,0,2,2,2,8,16,0,0,0,4,0,0,0,2,0,0,2,0
42,16,Up,8,0,0,16,2,1,2,2,8,16,0,0,0,4,0,0,0,2,0,0,2,0,2,2,8,16,0,0,2,4,2,0,0,2,0,0,0,0
42,17,Right,9,0,0,16,2,1,2,2,8,16,0,0,2,4,2,0,0,2,0,0,0,0,0,4,8,16,0,0,2,4,0,2,0,4,0,0,0,0
42,18,Up,9,0,0,16,2,1,0,4,8,16,0,0,2,4,0,2,0,4,0,0,0,0,0,4,8,16,0,2,2,8,2,0,0,0,0,0,0,0
42,19,Right,9,0,0,16,2,1,0,4,8,16,0,2,2,8,2,0,0,0,0,0,0,0,0,4,8,16,2,0,4,8,0,0,0,2,0,0,0,0
42,20,Up,8,0,0,16,2,1,0,4,8,16,2,0,4,8,0,0,0,2,0,0,0,0,2,4,8,16,0,0,4,8,0,2,0,2,0,0,0,0
42,21,Right,8,0,0,16,2,1,2,4,8,16,0,0,4,8,0,2,0,2,0,0,0,0,2,4,8,16,0,0,4,8,0,0,0,4,0,0,2,0
42,22,Up,7,0,0,16,2,1,2,4,8,16,0,0,4,8,0,0,0,4,0,0,2,0,2,4,8,16,0,0,4,8,0,2,2,4,0,0,0,0
42,23,Up,6,0,0,16,2,1,2,4,8,16,0,0,4,8,0,2,2,4,0,0,0,0,2,4,8,16,0,2,4,8,0,0,2,4,0,0,2,0
42,24,Right,5,0,0,16,2,1,2,4,8,16,0,2,4,8,0,0,2,4,0,0,2,0,2,4,8,16,2,2,4,8,0,0,2,4,0,0,0,2
42,25,Up,5,0,0,16,2,1,2,4,8,16,2,2,4,8,0,0,2,4,0,0,0,2,4,4,8,16,0,2,4,8,2,0,2,4,0,0,0,2
42,26,Up,4,0,0,16,2,1,4,4,8,16,0,2,4,8,2,0,2,4,0,0,0,2,4,4,8,16,2,2,4,8,0,2,2,4,0,0,0,2
42,27,Up,4,0,0,16,2,1,4,4,8,16,2,2,4,8,0,2,2,4,0,0,0,2,4,4,8,16,2,4,4,8,0,0,2,4,0,0,2,2
42,28,Up,5,0,0,16,2,1,4,4,8,16,2,4,4,8,0,0,2,4,0,0,2,2,4,8,8,16,2,0,4,8,0,0,4,4,0,2,0,2
42,29,Up,5,0,0,16,2,1,4,8,8,16,2,0,4,8,0,0,4,4,0,2,0,2,4,8,8,16,2,2,8,8,0,0,0,4,0,2,0,2
42,30,Up,6,0,0,16,2,1,4,8,8,16,2,2,8,8,0,0,0,4,0,2,0,2,4,8,16,16,2,4,0,8,0,0,0,4,2,0,0,2
42,31,Right,7,0,0,32,2,1,4,8,16,16,2,4,0,8,0,0,0,4,2,0,0,2,0,4,8,32,0,2,4,8,0,0,0,4,0,0,2,4
42,32,Up,7,0,0,32,2,1,0,4,8,32,0,2,4,8,0,0,0,4,0,0,2,4,2,4,8,32,0,2,4,8,0,0,2,8,0,0,0,0
42,33,Up,7,0,0,32,2,1,2,4,8,32,0,2,4,8,0,0,2,8,0,0,0,0,2,4,8,32,0,2,4,16,0,0,2,0,0,0,2,0
42,34,Up,7,0,0,32,2,1,2,4,8,32,0,2,4,16,0,0,2,0,0,0,2,0,2,4,8,32,0,2,4,16,2,0,4,0,0,0,0,0
42,35,Right,6,0,0,32,2,1,2,4,8,32,0,2,4,16,2,0,4,0,0,0,0,0,2,4,8,32,0,2,4,16,0,0,2,4,0,0,2,0
42,36,Up,6,0,0,32,2,1,2,4,8,32,0,2,4,16,0,0,2,4,0,0,2,0,2,4,8,32,0,2,4,16,0,2,4,4,0,0,0,0
42,37,Up,7,0,0,32,2,1,2,4,8,32,0,2,4,16,0,2,4,4,0,0,0,0,2,4,8,32,0,4,8,16,0,0,2,4,0,0,0,0
42,38,Up,8,0,0,32,2,1,2,4,8,32,0,4,8,16,0,0,2,4,0,0,0,0,2,8,16,32,0,0,2,16,0,0,0,4,2,0,0,0
42,39,Right,7,0,0,32,2,1,2,8,16,32,0,0,2,16,0,0,0,4,2,0,0,0,2,8,16,32,0,2,2,16,0,0,0,4,0,0,0,2
42,40,Left,7,0,0,32,2,1,2,8,16,32,0,2,2,16,0,0,0,4,0,0,0,2,2,8,16,32,4,16,0,0,4,2,0,0,2,0,0,0
42,41,Up,7,0,0,32,2,1,2,8,16,32,4,16,0,0,4,2,0,0,2,0,0,0,2,8,16,32,8,16,0,0,2,2,0,0,0,2,0,0
42,42,Right,7,0,0,32,2,1,2,8,16,32,8,16,0,0,2,2,0,0,0,2,0,0,2,8,16,32,0,0,8,16,0,0,0,4,2,0,0,2
42,43,Up,7,0,0,32,2,1,2,8,16,32,0,0,8,16,0,0,0,4,2,0,0,2,4,8,16,32,0,0,8,16,0,2,0,4,0,0,0,2
