episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
5,0,Up,13,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0
5,1,Left,13,0,0,4,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5,2,Up,12,0,0,4,1,1,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0
5,3,Up,11,0,0,4,1,1,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0
5,4,Left,11,0,0,4,1,1,4,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,2,0,2,0,2,0,0,0,0,0,0,0
5,5,Up,11,0,0,4,1,1,4,4,0,0,2,0,2,0,2,0,0,0,0,0,0,0,4,4,2,0,4,0,0,0,0,0,0,0,2,0,0,0
5,6,Up,11,0,0,8,1,1,4,4,2,0,4,0,0,0,0,0,0,0,2,0,0,0,8,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0
5,7,Up,10,0,0,8,1,1,8,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0,8,4,2,2,2,0,0,0,0,0,0,0,2,0,0,0
5,8,Left,10,0,0,8,1,1,8,4,2,2,2,0,0,0,0,0,0,0,2,0,0,0,8,4,4,0,2,0,0,0,0,0,0,0,2,0,0,2
5,9,Left,11,0,0,8,1,1,8,4,4,0,2,0,0,0,0,0,0,0,2,0,0,2,8,8,0,0,2,0,2,0,0,0,0,0,4,0,0,0
5,10,Up,10,0,0,8,1,1,8,8,0,0,2,0,2,0,0,0,0,0,4,0,0,0,8,8,2,0,2,0,0,2,4,0,0,0,0,0,0,0
5,11,Left,11,0,0,16,1,1,8,8,2,0,2,0,0,2,4,0,0,0,0,0,0,0,16,2,0,0,4,0,0,0,4,0,0,0,0,0,2,0
5,12,Up,11,0,0,16,1,1,16,2,0,0,4,0,0,0,4,0,0,0,0,0,2,0,16,2,2,0,8,0,2,0,0,0,0,0,0,0,0,0
5,13,Left,11,0,0,16,1,1,16,2,2,0,8,0,2,0,0,0,0,0,0,0,0,0,16,4,0,0,8,2,0,0,0,2,0,0,0,0,0,0
5,14,Left,10,0,0,16,1,1,16,4,0,0,8,2,0,0,0,2,0,0,0,0,0,0,16,4,0,0,8,2,0,0,2,0,2,0,0,0,0,0
5,15,Up,9,0,0,16,1,1,16,4,0,0,8,2,0,0,2,0,2,0,0,0,0,0,16,4,2,2,8,2,0,0,2,0,0,0,0,0,0,0
5,16,Left,9,0,0,16,1,1,16,4,2,2,8,2,0,0,2,0,0,0,0,0,0,0,16,4,4,0,8,2,0,0,2,0,0,0,0,0,2,0
5,17,Left,9,0,0,16,1,1,16,4,4,0,8,2,0,0,2,0,0,0,0,0,2,0,16,8,2,0,8,2,0,0,2,0,0,0,2,0,0,0
5,18,Up,9,0,0,16,1,1,16,8,2,0,8,2,0,0,2,0,0,0,2,0,0,0,16,8,2,0,8,2,0,2,4,0,0,0,0,0,0,0
5,19,Up,8,0,0,16,1,1,16,8,2,0,8,2,0,2,4,0,0,0,0,0,0,0,16,8,2,2,8,2,2,0,4,0,0,0,0,0,0,0
5,20,Left,9,0,0,16,1,1,16,8,2,2,8,2,2,0,4,0,0,0,0,0,0,0,16,8,4,0,8,2,0,0,4,2,0,0,0,0,0,0
5,21,Up,9,0,0,16,1,1,16,8,4,0,8,2,0,0,4,2,0,0,0,0,0,0,16,8,4,0,8,2,0,0,4,0,0,0,0,2,0,0
5,22,Left,8,0,0,16,1,1,16,8,4,0,8,2,0,0,4,0,0,0,0,2,0,0,16,8,4,0,8,2,0,0,4,0,0,0,2,0,0,2
5,23,Left,8,0,0,16,1,1,16,8,4,0,8,2,0,0,4,0,0,0,2,0,0,2,16,8,4,0,8,2,0,0,4,0,0,0,4,0,2,0
5,24,Up,8,0,0,16,1,1,16,8,4,0,8,2,0,0,4,0,0,0,4,0,2,0,16,8,4,0,8,2,2,0,8,0,2,0,0,0,0,0
5,25,Up,9,0,0,16,1,1,16,8,4,0,8,2,2,0,8,0,2,0,0,0,0,0,16,8,4,0,16,2,4,0,0,0,0,0,2,0,0,0
5,26,Up,10,0,0,32,1,1,16,8,4,0,16,2,4,0,0,0,0,0,2,0,0,0,32,8,8,0,2,2,0,0,0,0,0,2,0,0,0,0
5,27,Left,11,0,0,32,1,1,32,8,8,0,2,2,0,0,0,0,0,2,0,0,0,0,32,16,0,2,4,0,0,0,2,0,0,0,0,0,0,0
5,28,Left,10,0,0,32,1,1,32,16,0,2,4,0,0,0,2,0,0,0,0,0,0,0,32,16,2,0,4,0,2,0,2,0,0,0,0,0,0,0
5,29,Up,10,0,0,32,1,1,32,16,2,0,4,0,2,0,2,0,0,0,0,0,0,0,32,16,4,0,4,0,0,0,2,0,0,0,2,0,0,0
5,30,Up,10,0,0,32,1,1,32,16,4,0,4,0,0,0,2,0,0,0,2,0,0,0,32,16,4,0,4,0,0,0,4,0,0,0,0,2,0,0
5,31,Up,10,0,0,32,1,1,32,16,4,0,4,0,0,0,4,0,0,0,0,2,0,0,32,16,4,0,8,2,0,0,0,0,0,0,2,0,0,0
5,32,Up,9,0,0,32,1,1,32,16,4,0,8,2,0,0,0,0,0,0,2,0,0,0,32,16,4,0,8,2,2,0,2,0,0,0,0,0,0,0
