episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
20,0,Left,13,0,0,2,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0
20,1,Up,13,0,0,4,1,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20,2,Up,13,0,0,4,1,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
20,3,Left,13,0,0,8,1,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
20,4,Up,12,0,0,8,1,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,8,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0
20,5,Left,12,0,0,8,1,2,8,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,8,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0
20,6,Up,11,0,0,8,1,2,8,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,8,2,0,0,4,2,0,0,2,0,0,0,0,0,0,0
20,7,Up,11,0,0,8,1,2,8,2,0,0,4,2,0,0,2,0,0,0,0,0,0,0,8,4,0,0,4,0,0,0,2,0,0,0,0,0,2,0
20,8,Left,10,0,0,8,1,2,8,4,0,0,4,0,0,0,2,0,0,0,0,0,2,0,8,4,0,0,4,0,0,0,2,2,0,0,2,0,0,0
20,9,Up,10,0,0,8,1,2,8,4,0,0,4,0,0,0,2,2,0,0,2,0,0,0,8,4,0,0,4,2,0,0,4,0,0,0,2,0,0,0
20,10,Up,10,0,0,8,1,2,8,4,0,0,4,2,0,0,4,0,0,0,2,0,0,0,8,4,0,0,8,2,0,0,2,0,0,0,2,0,0,0
20,11,Up,11,0,0,16,1,2,8,4,0,0,8,2,0,0,2,0,0,0,2,0,0,0,16,4,0,0,4,2,0,2,0,0,0,0,0,0,0,0
20,12,Left,11,0,0,16,1,2,16,4,0,0,4,2,0,2,0,0,0,0,0,0,0,0,16,4,0,0,4,4,2,0,0,0,0,0,0,0,0,0
20,13,Left,11,0,0,16,1,2,16,4,0,0,4,4,2,0,0,0,0,0,0,0,0,0,16,4,0,0,8,2,0,0,0,0,0,0,0,2,0,0
20,14,Up,11,0,0,16,1,2,16,4,0,0,8,2,0,0,0,0,0,0,0,2,0,0,16,4,2,0,8,4,0,0,0,0,0,0,0,0,0,0
20,15,Up,11,0,0,16,1,2,16,4,2,0,8,4,0,0,0,0,0,0,0,0,0,0,16,8,2,0,8,2,0,0,0,0,0,0,0,0,0,0
20,16,Right,10,0,0,16,1,2,16,8,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,16,8,2,0,0,4,2,0,0,2,0,0,0,0,0
20,17,Left,9,0,0,16,1,2,0,16,8,2,0,0,4,2,0,0,2,0,0,0,0,0,16,8,2,0,4,2,0,0,2,0,0,2,0,0,0,0
20,18,Up,8,0,0,16,1,2,16,8,2,0,4,2,0,0,2,0,0,2,0,0,0,0,16,8,2,2,4,2,0,0,2,0,2,0,0,0,0,0
20,19,Left,9,0,0,16,1,2,16,8,2,2,4,2,0,0,2,0,2,0,0,0,0,0,16,8,4,0,4,2,0,0,4,0,0,0,0,0,2,0
20,20,Up,9,0,0,16,1,2,16,8,4,0,4,2,0,0,4,0,0,0,0,0,2,0,16,8,4,0,8,2,2,0,0,0,0,2,0,0,0,0
20,21,Up,8,0,0,16,1,2,16,8,4,0,8,2,2,0,0,0,0,2,0,0,0,0,16,8,4,2,8,2,2,0,0,0,0,0,0,2,0,0
20,22,Left,8,0,0,16,1,2,16,8,4,2,8,2,2,0,0,0,0,0,0,2,0,0,16,8,4,2,8,4,0,0,0,0,0,0,2,0,0,2
20,23,Left,8,0,0,16,1,2,16,8,4,2,8,4,0,0,0,0,0,0,2,0,0,2,16,8,4,2,8,4,0,0,2,0,0,0,4,0,0,0
20,24,Right,7,0,0,16,1,2,16,8,4,2,8,4,0,0,2,0,0,0,4,0,0,0,16,8,4,2,0,0,4,4,0,0,0,2,0,2,0,4
20,25,Up,7,0,0,16,1,2,16,8,4,2,0,0,4,4,0,0,0,2,0,2,0,4,16,8,8,2,0,2,0,4,2,0,0,2,0,0,0,4
