episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
20,0,Left,13,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0
20,1,Up,13,0,0,4,1,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
20,2,Down,12,0,0,4,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0
20,3,Left,12,0,0,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0
20,4,Down,11,0,0,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,2,0,0,0,2,0,0,0,4,4,2,0
20,5,Left,11,0,0,8,1,2,0,0,0,0,2,0,0,0,2,0,0,0,4,4,2,0,0,0,0,0,2,0,0,2,2,0,0,0,8,2,0,0
20,6,Down,11,0,0,8,1,2,0,0,0,0,2,0,0,2,2,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,4,0,0,0,8,2,0,2
20,7,Down,10,0,0,8,1,2,0,0,2,0,0,0,0,0,4,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,4,0,2,0,8,2,2,2
20,8,Left,10,0,0,8,1,2,0,0,0,0,0,0,0,0,4,0,2,0,8,2,2,2,0,0,0,0,2,0,0,0,4,2,0,0,8,4,2,0
20,9,Right,9,0,0,8,1,2,0,0,0,0,2,0,0,0,4,2,0,0,8,4,2,0,0,0,0,0,0,0,0,2,0,2,4,2,0,8,4,2
20,10,Left,8,0,0,8,1,2,0,0,0,0,0,0,0,2,0,2,4,2,0,8,4,2,0,0,0,0,2,0,2,0,2,4,2,0,8,4,2,0
20,11,Down,10,0,0,8,1,2,0,0,0,0,2,0,2,0,2,4,2,0,8,4,2,0,0,0,2,0,0,0,0,0,4,0,2,0,8,8,4,0
20,12,Left,10,0,0,16,1,2,0,0,2,0,0,0,0,0,4,0,2,0,8,8,4,0,2,0,0,0,0,0,0,0,4,2,0,2,16,4,0,0
20,13,Down,9,0,0,16,1,2,2,0,0,0,0,0,0,0,4,2,0,2,16,4,0,0,0,0,0,0,2,0,0,0,4,2,2,0,16,4,0,2
20,14,Left,9,0,0,16,1,2,0,0,0,0,2,0,0,0,4,2,2,0,16,4,0,2,2,0,0,0,2,0,0,0,4,4,0,0,16,4,2,0
20,15,Down,10,0,0,16,1,2,2,0,0,0,2,0,0,0,4,4,0,0,16,4,2,0,0,0,0,0,4,2,0,0,4,0,0,0,16,8,2,0
20,16,Down,10,0,0,16,1,2,0,0,0,0,4,2,0,0,4,0,0,0,16,8,2,0,2,0,0,0,0,0,0,0,8,2,0,0,16,8,2,0
20,17,Down,9,0,0,16,1,2,2,0,0,0,0,0,0,0,8,2,0,0,16,8,2,0,0,0,0,0,2,0,0,0,8,2,0,0,16,8,2,2
20,18,Right,9,0,0,16,1,2,0,0,0,0,2,0,0,0,8,2,0,0,16,8,2,2,0,0,0,0,0,2,0,2,0,0,8,2,0,16,8,4
20,19,Down,10,0,0,16,1,2,0,0,0,0,0,2,0,2,0,0,8,2,0,16,8,4,0,0,0,2,0,0,0,0,0,2,0,4,0,16,16,4
20,20,Left,10,0,0,32,1,2,0,0,0,2,0,0,0,0,0,2,0,4,0,16,16,4,2,0,0,0,0,0,0,2,2,4,0,0,32,4,0,0
20,21,Down,11,0,0,32,1,2,2,0,0,0,0,0,0,2,2,4,0,0,32,4,0,0,0,0,0,0,0,0,0,0,4,0,2,0,32,8,0,2
20,22,Down,10,0,0,32,1,2,0,0,0,0,0,0,0,0,4,0,2,0,32,8,0,2,0,0,0,0,0,0,0,2,4,0,0,0,32,8,2,2
20,23,Right,10,0,0,32,1,2,0,0,0,0,0,0,0,2,4,0,0,0,32,8,2,2,0,0,0,0,0,0,0,2,0,0,0,4,2,32,8,4
20,24,Down,10,0,0,32,1,2,0,0,0,0,0,0,0,2,0,0,0,4,2,32,8,4,0,0,0,0,0,0,0,2,0,0,0,2,2,32,8,8
20,25,Down,10,0,0,32,1,2,0,0,0,0,0,0,0,2,0,0,0,2,2,32,8,8,0,0,0,2,0,0,0,0,0,0,0,4,2,32,8,8
20,26,Left,10,0,0,32,1,2,0,0,0,2,0,0,0,0,0,0,0,4,2,32,8,8,2,0,0,0,0,0,0,0,4,0,0,0,2,32,16,2
20,27,Down,9,0,0,32,1,2,2,0,0,0,0,0,0,0,4,0,0,0,2,32,16,2,0,2,0,0,2,0,0,0,4,0,0,0,2,32,16,2
20,28,Down,8,0,0,32,1,2,0,2,0,0,2,0,0,0,4,0,0,0,2,32,16,2,2,0,0,0,2,0,0,0,4,2,0,0,2,32,16,2
20,29,Right,7,0,0,32,1,2,2,0,0,0,2,0,0,0,4,2,0,0,2,32,16,2,0,0,0,2,2,0,0,2,0,0,4,2,2,32,16,2
20,30,Down,9,0,0,32,1,2,0,0,0,2,2,0,0,2,0,0,4,2,2,32,16,2,0,0,2,0,0,0,0,0,0,0,4,4,4,32,16,4
20,31,Right,9,0,0,32,1,2,0,0,2,0,0,0,0,0,0,0,4,4,4,32,16,4,0,2,0,2,0,0,0,0,0,0,0,8,4,32,16,4
20,32,Down,8,0,0,32,1,2,0,2,0,2,0,0,0,0,0,0,0,8,4,32,16,4,0,0,0,0,0,0,2,2,0,2,0,8,4,32,16,4
20,33,Down,7,0,0,32,1,2,0,0,0,0,0,0,2,2,0,2,0,8,4,32,16,4,2,0,0,0,0,0,0,2,0,2,2,8,4,32,16,4
20,34,Left,7,0,0,32,1,2,2,0,0,0,0,0,0,2,0,2,2,8,4,32,16,4,2,2,0,0,2,0,0,0,4,8,0,0,4,32,16,4
20,35,Down,8,0,0,32,1,2,2,2,0,0,2,0,0,0,4,8,0,0,4,32,16,4,0,0,0,0,2,2,0,0,4,8,0,0,8,32,16,4
20,36,Left,8,0,0,32,1,2,0,0,0,0,2,2,0,0,4,8,0,0,8,32,16,4,0,0,0,0,4,0,0,0,4,8,2,0,8,32,16,4
20,37,Down,8,0,0,32,1,2,0,0,0,0,4,0,0,0,4,8,2,0,8,32,16,4,0,0,0,0,0,0,2,0,8,8,2,0,8,32,16,4
