episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
10,0,Left,13,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
10,1,Up,13,0,0,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,2,Left,12,0,0,4,1,1,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
10,3,Left,12,0,0,4,1,1,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
10,4,Right,12,0,0,8,1,1,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,0,0,0,2,0,0,0,0
10,5,Left,11,0,0,8,1,1,0,0,8,2,0,0,0,2,0,0,0,2,0,0,0,0,8,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0
10,6,Up,12,0,0,8,1,1,8,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,8,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0
10,7,Left,11,0,0,8,1,1,8,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0
10,8,Left,11,0,0,8,1,1,8,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,4,0,2,0,0,0,0,0,0,0,0,0
10,9,Right,11,0,0,8,1,1,8,4,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,4,2,0,0,0,2,0,0,0,0
10,10,Left,11,0,0,16,1,1,0,0,8,8,0,0,4,2,0,0,0,2,0,0,0,0,16,0,0,0,4,2,0,0,2,0,0,0,2,0,0,0
10,11,Up,11,0,0,16,1,1,16,0,0,0,4,2,0,0,2,0,0,0,2,0,0,0,16,2,0,0,4,0,0,0,4,2,0,0,0,0,0,0
10,12,Up,12,0,0,16,1,1,16,2,0,0,4,0,0,0,4,2,0,0,0,0,0,0,16,4,0,0,8,0,0,0,0,0,0,0,0,0,2,0
10,13,Left,11,0,0,16,1,1,16,4,0,0,8,0,0,0,0,0,0,0,0,0,2,0,16,4,2,0,8,0,0,0,0,0,0,0,2,0,0,0
10,14,Right,10,0,0,16,1,1,16,4,2,0,8,0,0,0,0,0,0,0,2,0,0,0,0,16,4,2,0,0,0,8,0,0,2,0,0,0,0,2
10,15,Up,9,0,0,16,1,1,0,16,4,2,0,0,0,8,0,0,2,0,0,0,0,2,0,16,4,2,0,0,2,8,0,2,0,2,0,0,0,0
10,16,Left,9,0,0,16,1,1,0,16,4,2,0,0,2,8,0,2,0,2,0,0,0,0,16,4,2,0,2,4,0,0,4,2,0,0,0,0,0,0
10,17,Up,9,0,1,16,1,1,16,4,2,0,2,4,0,0,4,2,0,0,0,0,0,0,16,8,2,0,2,2,2,0,4,0,0,0,0,0,0,0
10,18,Left,9,0,1,16,1,1,16,8,2,0,2,2,2,0,4,0,0,0,0,0,0,0,16,8,2,0,4,2,0,2,4,0,0,0,0,0,0,0
10,19,Right,9,0,1,16,1,1,16,8,2,0,4,2,0,2,4,0,0,0,0,0,0,0,0,16,8,2,0,0,4,4,0,0,0,4,0,0,0,2
10,20,Left,9,0,1,16,1,1,0,16,8,2,0,0,4,4,0,0,0,4,0,0,0,2,16,8,2,0,8,0,0,0,4,0,0,0,2,0,0,2
10,21,Up,8,0,1,16,1,1,16,8,2,0,8,0,0,0,4,0,0,0,2,0,0,2,16,8,2,2,8,0,0,0,4,2,0,0,2,0,0,0
10,22,Left,8,0,1,16,1,1,16,8,2,2,8,0,0,0,4,2,0,0,2,0,0,0,16,8,4,2,8,0,0,0,4,2,0,0,2,0,0,0
10,23,Up,7,0,1,16,1,1,16,8,4,2,8,0,0,0,4,2,0,0,2,0,0,0,16,8,4,2,8,2,2,0,4,0,0,0,2,0,0,0
10,24,Left,7,0,1,16,1,1,16,8,4,2,8,2,2,0,4,0,0,0,2,0,0,0,16,8,4,2,8,2,0,0,4,0,0,2,2,0,0,0
10,25,Right,6,0,1,16,1,1,16,8,4,2,8,2,0,0,4,0,0,2,2,0,0,0,16,8,4,2,0,0,8,2,2,0,4,2,0,0,0,2
10,26,Up,7,0,1,16,1,1,16,8,4,2,0,0,8,2,2,0,4,2,0,0,0,2,16,8,4,4,2,0,8,4,0,0,4,0,0,0,0,2
10,27,Left,7,0,1,16,1,1,16,8,4,4,2,0,8,4,0,0,4,0,0,0,0,2,16,8,8,0,2,4,4,0,4,0,0,0,2,0,2,0
10,28,Left,9,0,1,16,1,1,16,8,8,0,2,4,4,0,4,0,0,0,2,0,2,0,16,16,0,0,2,4,0,0,4,0,0,0,4,0,2,0
10,29,Up,9,0,2,16,1,1,16,16,0,0,2,4,0,0,4,0,0,0,4,0,2,0,16,16,2,0,2,2,0,0,8,0,2,0,0,0,0,0
10,30,Left,10,0,2,32,1,1,16,16,2,0,2,2,0,0,8,0,2,0,0,0,0,0,32,2,0,0,4,0,0,0,8,2,0,0,0,0,2,0
10,31,Up,10,0,2,32,1,1,32,2,0,0,4,0,0,0,8,2,0,0,0,0,2,0,32,4,2,0,4,2,0,0,8,0,0,0,0,0,0,0
10,32,Right,9,0,2,32,1,1,32,4,2,0,4,2,0,0,8,0,0,0,0,0,0,0,0,32,4,2,0,0,4,2,0,0,0,8,0,0,0,2
10,33,Left,8,0,2,32,1,1,0,32,4,2,0,0,4,2,0,0,0,8,0,0,0,2,32,4,2,0,4,2,0,0,8,0,0,0,2,0,0,2
10,34,Up,7,0,2,32,1,1,32,4,2,0,4,2,0,0,8,0,0,0,2,0,0,2,32,4,2,2,4,2,0,0,8,0,0,0,2,0,0,2
10,35,Left,8,0,2,32,1,1,32,4,2,2,4,2,0,0,8,0,0,0,2,0,0,2,32,4,4,0,4,2,0,0,8,0,0,0,4,0,0,2
